Error rate computed: 0.000000 	 epsilon: 0.002892
Error rate computed: 1.038773 	 epsilon: 0.004335
Error rate computed: 2.017152 	 epsilon: 0.004880
Error rate computed: 3.140476 	 epsilon: 0.005330
Error rate computed: 4.082619 	 epsilon: 0.005651
Error rate computed: 5.218022 	 epsilon: 0.006001
Error rate computed: 6.196401 	 epsilon: 0.006235
Error rate computed: 7.223095 	 epsilon: 0.006519
Error rate computed: 8.249789 	 epsilon: 0.006813
Error rate computed: 9.034908 	 epsilon: 0.007024
Error rate computed: 10.436043 	 epsilon: 0.007249
Error rate computed: 11.0 	 epsilon: 0.007347
Error rate computed: 12.0 	 epsilon: 0.007789
Error rate computed: 13.0	 epsilon: 0.007948
Error rate computed: 14.0 	 epsilon: 0.008114
Error rate computed: 15.0 	 epsilon: 0.008237
Error rate computed: 16.0 	 epsilon: 0.008657
Error rate computed: 17.0 	 epsilon: 0.008826
Error rate computed: 18.0 	 epsilon: 0.009031
Error rate computed: 19.0 	 epsilon: 0.009152
Error rate computed: 20.0 	 epsilon: 0.009406
