Error rate computed: 0.000000 	 epsilon: 0.005278
Error rate computed: 1.026958 	 epsilon: 0.006396
Error rate computed: 2.182285 	 epsilon: 0.007097
Error rate computed: 3.166453 	 epsilon: 0.007701
Error rate computed: 4.022251 	 epsilon: 0.008139
Error rate computed: 5.220368 	 epsilon: 0.008212
Error rate computed: 6.675225 	 epsilon: 0.008769
Error rate computed: 7.060334 	 epsilon: 0.009183
Error rate computed: 8.172871 	 epsilon: 0.009246
Error rate computed: 9.071459 	 epsilon: 0.009605
Error rate computed: 10.055627 	 epsilon: 0.009994
Error rate computed: 10.055627 	 epsilon: 0.010105
Error rate computed: 10.055627 	 epsilon: 0.010181
Error rate computed: 10.055627 	 epsilon: 0.010536
Error rate computed: 10.055627 	 epsilon: 0.010787
Error rate computed: 10.055627 	 epsilon: 0.011140
Error rate computed: 10.055627 	 epsilon: 0.011233
Error rate computed: 10.055627 	 epsilon: 0.011374
Error rate computed: 10.055627 	 epsilon: 0.011617
Error rate computed: 10.055627 	 epsilon: 0.011819
Error rate computed: 20.055627 	 epsilon: 0.012135
