Error rate computed: 0.000000 	 epsilon: 0.008740
Error rate computed: 1.586174 	 epsilon: 0.009957
Error rate computed: 2.378174 	 epsilon: 0.010536
Error rate computed: 3.271222 	 epsilon: 0.011567
Error rate computed: 4.158704 	 epsilon: 0.011666
Error rate computed: 5.815001 	 epsilon: 0.012135
Error rate computed: 6.039492 	 epsilon: 0.012245
Error rate computed: 7.138859 	 epsilon: 0.013069
Error rate computed: 8.923091 	 epsilon: 0.013325
Error rate computed: 9.848743 	 epsilon: 0.013196
Error rate computed: 10.360756 	 epsilon: 0.013524
Error rate computed: 10.360756 	 epsilon: 0.014158
Error rate computed: 10.360756 	 epsilon: 0.014012
Error rate computed: 10.360756 	 epsilon: 0.014536
Error rate computed: 10.360756 	 epsilon: 0.014773
Error rate computed: 10.360756 	 epsilon: 0.014854
Error rate computed: 10.360756 	 epsilon: 0.015271
Error rate computed: 10.360756 	 epsilon: 0.014936
Error rate computed: 10.360756 	 epsilon: 0.015358
Error rate computed: 10.360756 	 epsilon: 0.015622
Error rate computed: 10.360756 	 epsilon: 0.000000
