Error rate computed: 0.000000 	 epsilon: 0.003172
Error rate computed: 1.008767 	 epsilon: 0.004615
Error rate computed: 2.017533 	 epsilon: 0.005227
Error rate computed: 3.026300 	 epsilon: 0.005723
Error rate computed: 4.011048 	 epsilon: 0.006068
Error rate computed: 5.079861 	 epsilon: 0.006457
Error rate computed: 6.112646 	 epsilon: 0.006728
Error rate computed: 7.421640 	 epsilon: 0.007060
Error rate computed: 8.550498 	 epsilon: 0.007427
Error rate computed: 9.174973 	 epsilon: 0.007614
Error rate computed: 10.111685 	 epsilon: 0.007925
Error rate computed: 10.111685 	 epsilon: 0.008139
Error rate computed: 10.111685 	 epsilon: 0.008364
Error rate computed: 10.111685 	 epsilon: 0.008629
Error rate computed: 10.111685 	 epsilon: 0.008797
Error rate computed: 10.111685 	 epsilon: 0.009091
Error rate computed: 10.111685 	 epsilon: 0.009246
Error rate computed: 10.111685 	 epsilon: 0.009538
Error rate computed: 10.111685 	 epsilon: 0.009743
Error rate computed: 10.111685 	 epsilon: 0.009957
Error rate computed: 20.111685 	 epsilon: 0.010181
