Error rate computed: 0.000000 	 epsilon: 0.024712
Error rate computed: 1.015228 	 epsilon: 0.026137
Error rate computed: 2.030457 	 epsilon: 0.028918
Error rate computed: 3.891709 	 epsilon: 0.033979
Error rate computed: 4.060914 	 epsilon: 0.033150
Error rate computed: 5.414552 	 epsilon: 0.036244
Error rate computed: 6.091371 	 epsilon: 0.039975
Error rate computed: 7.952623 	 epsilon: 0.038286
Error rate computed: 8.798646 	 epsilon: 0.039395
Error rate computed: 9.644670 	 epsilon: 0.041820
Error rate computed: 10.659898 	 epsilon: 0.042473
Error rate computed: 10.659898 	 epsilon: 0.044562
Error rate computed: 12.000000 	 epsilon: 0.000000
Error rate computed: 10.659898 	 epsilon: 0.043843
Error rate computed: 14.000000 	 epsilon: 0.000000
Error rate computed: 10.659898 	 epsilon: 0.046867
Error rate computed: 16.000000 	 epsilon: 0.000000
Error rate computed: 10.659898 	 epsilon: 0.047689
Error rate computed: 10.659898 	 epsilon: 0.049423
Error rate computed: 19.000000 	 epsilon: 0.000000
Error rate computed: 20.000000 	 epsilon: 0.000000
