Error rate computed: 0.000000 	 epsilon: 0.302031
Error rate computed: 1.000000 	 epsilon: 0.000000
Error rate computed: 2.067982 	 epsilon: 0.388326
Error rate computed: 3.000000 	 epsilon: 0.000000
Error rate computed: 4.000000 	 epsilon: 0.000000
Error rate computed: 5.000000 	 epsilon: 0.000000
Error rate computed: 6.000000 	 epsilon: 0.000000
Error rate computed: 7.000000 	 epsilon: 0.000000
Error rate computed: 8.000000 	 epsilon: 0.000000
Error rate computed: 9.000000 	 epsilon: 0.000000
Error rate computed: 10.000000 	 epsilon: 0.000000
Error rate computed: 11.000000 	 epsilon: 0.000000
Error rate computed: 12.000000 	 epsilon: 0.000000
Error rate computed: 13.000000 	 epsilon: 0.000000
Error rate computed: 2.067982 	 epsilon: 0.453047
Error rate computed: 15.000000 	 epsilon: 0.000000
Error rate computed: 16.000000 	 epsilon: 0.000000
Error rate computed: 17.000000 	 epsilon: 0.000000
Error rate computed: 18.000000 	 epsilon: 0.000000
Error rate computed: 2.067982 	 epsilon: 0.543656
Error rate computed: 20.000000 	 epsilon: 0.000000
