Error rate computed: 0.000000 	 epsilon: 0.024712
Error rate computed: 1.062458 	 epsilon: 0.028024
Error rate computed: 2.534942 	 epsilon: 0.031245
Error rate computed: 3.704114 	 epsilon: 0.029871
Error rate computed: 4.268012 	 epsilon: 0.035302
Error rate computed: 5.447673 	 epsilon: 0.033979
Error rate computed: 6.000000 	 epsilon: 0.000000
Error rate computed: 7.129823 	 epsilon: 0.036244
Error rate computed: 8.036472 	 epsilon: 0.038833
Error rate computed: 9.000000 	 epsilon: 0.000000
Error rate computed: 10.427597 	 epsilon: 0.038286
Error rate computed: 11.000000 	 epsilon: 0.000000
Error rate computed: 10.427597 	 epsilon: 0.041186
Error rate computed: 13.000000 	 epsilon: 0.000000
Error rate computed: 10.427597 	 epsilon: 0.043147
Error rate computed: 15.000000 	 epsilon: 0.000000
Error rate computed: 10.427597 	 epsilon: 0.044562
Error rate computed: 10.427597 	 epsilon: 0.042473
Error rate computed: 10.427597 	 epsilon: 0.043843
Error rate computed: 10.427597 	 epsilon: 0.046073
Error rate computed: 20.000000 	 epsilon: 0.000000
