Error rate computed: 0.000000 	 epsilon: 0.009091
Error rate computed: 1.159901 	 epsilon: 0.010787
Error rate computed: 2.071251 	 epsilon: 0.011819
Error rate computed: 3.231152 	 epsilon: 0.012527
Error rate computed: 4.308202 	 epsilon: 0.013132
Error rate computed: 5.468103 	 epsilon: 0.014084
Error rate computed: 6.130903 	 epsilon: 0.013940
Error rate computed: 7.705054 	 epsilon: 0.014614
Error rate computed: 8.119304 	 epsilon: 0.015358
Error rate computed: 9.859155 	 epsilon: 0.015713
Error rate computed: 10.936205 	 epsilon: 0.016180
Error rate computed: 10.936205 	 epsilon: 0.016085
Error rate computed: 10.936205 	 epsilon: 0.015896
Error rate computed: 10.936205 	 epsilon: 0.016474
Error rate computed: 10.936205 	 epsilon: 0.017204
Error rate computed: 10.936205 	 epsilon: 0.016780
Error rate computed: 16.000000 	 epsilon: 0.000000
Error rate computed: 10.936205 	 epsilon: 0.017537
Error rate computed: 10.936205 	 epsilon: 0.017651
Error rate computed: 10.936205 	 epsilon: 0.017883
Error rate computed: 20.936205 	 epsilon: 0.018747
