Error rate computed: 0.000000 	 epsilon: 0.005340
Error rate computed: 1.181435 	 epsilon: 0.006566
Error rate computed: 2.278481 	 epsilon: 0.007427
Error rate computed: 3.122363 	 epsilon: 0.008090
Error rate computed: 4.050633 	 epsilon: 0.008416
Error rate computed: 5.105485 	 epsilon: 0.008740
Error rate computed: 6.033755 	 epsilon: 0.008942
Error rate computed: 7.046414 	 epsilon: 0.009438
Error rate computed: 8.059072 	 epsilon: 0.009708
Error rate computed: 9.367089 	 epsilon: 0.010031
Error rate computed: 10.000000 	 epsilon: 0.010415
Error rate computed: 10.000000 	 epsilon: 0.010702
Error rate computed: 10.000000 	 epsilon: 0.010917
Error rate computed: 10.000000 	 epsilon: 0.011095
Error rate computed: 10.000000 	 epsilon: 0.011374
Error rate computed: 10.000000 	 epsilon: 0.011666
Error rate computed: 10.000000 	 epsilon: 0.011518
Error rate computed: 10.000000 	 epsilon: 0.011922
Error rate computed: 10.000000 	 epsilon: 0.012190
Error rate computed: 10.000000 	 epsilon: 0.012585
Error rate computed: 20.000000 	 epsilon: 0.012702
