Error rate computed: 0.000000 	 epsilon: 0.009091
Error rate computed: 1.147510 	 epsilon: 0.010068
Error rate computed: 2.297860 	 epsilon: 0.010917
Error rate computed: 3.240768 	 epsilon: 0.011279
Error rate computed: 4.330639 	 epsilon: 0.012190
Error rate computed: 5.278272 	 epsilon: 0.012822
Error rate computed: 6.212921 	 epsilon: 0.012883
Error rate computed: 7.482169 	 epsilon: 0.013132
Error rate computed: 8.415695 	 epsilon: 0.013798
Error rate computed: 9.987086 	 epsilon: 0.014158
Error rate computed: 10.836842 	 epsilon: 0.013940
Error rate computed: 10.836842 	 epsilon: 0.014012
Error rate computed: 12.000000 	 epsilon: 0.000000
Error rate computed: 10.836842 	 epsilon: 0.014614
Error rate computed: 10.836842 	 epsilon: 0.014854
Error rate computed: 10.836842 	 epsilon: 0.015271
Error rate computed: 16.000000 	 epsilon: 0.000000
Error rate computed: 17.000000 	 epsilon: 0.000000
Error rate computed: 18.000000 	 epsilon: 0.000000
Error rate computed: 10.836842 	 epsilon: 0.015713
Error rate computed: 20.000000 	 epsilon: 0.000000
