Error rate computed: 0.000000 	 epsilon: 0.006164
Error rate computed: 1.094491 	 epsilon: 0.009571
Error rate computed: 2.067372 	 epsilon: 0.011374
Error rate computed: 3.271312 	 epsilon: 0.012469
Error rate computed: 4.159066 	 epsilon: 0.013325
Error rate computed: 5.375167 	 epsilon: 0.014232
Error rate computed: 6.299404 	 epsilon: 0.015018
Error rate computed: 7.369573 	 epsilon: 0.015622
Error rate computed: 8.062751 	 epsilon: 0.016277
Error rate computed: 9.291013 	 epsilon: 0.017096
Error rate computed: 10.203089 	 epsilon: 0.017767
Error rate computed: 10.203089 	 epsilon: 0.018367
Error rate computed: 10.203089 	 epsilon: 0.019143
Error rate computed: 10.203089 	 epsilon: 0.019698
Error rate computed: 10.203089 	 epsilon: 0.020135
Error rate computed: 10.203089 	 epsilon: 0.020910
Error rate computed: 10.203089 	 epsilon: 0.021574
Error rate computed: 10.203089 	 epsilon: 0.021922
Error rate computed: 10.203089 	 epsilon: 0.022100
Error rate computed: 10.203089 	 epsilon: 0.023036
Error rate computed: 20.203089 	 epsilon: 0.023233
