Error rate computed: 0.000000 	 epsilon: 0.302031
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 10.526316 	 epsilon: 0.339785
Error rate computed: 10.526316 	 epsilon: 0.000000
Error rate computed: 10.526316 	 epsilon: 0.000000
Error rate computed: 10.526316 	 epsilon: 0.000000
Error rate computed: 10.526316 	 epsilon: 0.000000
Error rate computed: 10.526316 	 epsilon: 0.000000
Error rate computed: 10.526316 	 epsilon: 0.000000
Error rate computed: 10.526316 	 epsilon: 0.000000
Error rate computed: 10.526316 	 epsilon: 0.000000
Error rate computed: 10.526316 	 epsilon: 0.000000
Error rate computed: 10.526316 	 epsilon: 0.000000
