Error rate computed: 0.000000 	 epsilon: 0.027738
Error rate computed: 1.208981 	 epsilon: 0.033150
Error rate computed: 2.072539 	 epsilon: 0.033559
Error rate computed: 3.108808 	 epsilon: 0.037237
Error rate computed: 4.145078 	 epsilon: 0.038833
Error rate computed: 5.699482 	 epsilon: 0.041186
Error rate computed: 6.908463 	 epsilon: 0.041820
Error rate computed: 7.081174 	 epsilon: 0.042473
Error rate computed: 7.081174 	 epsilon: 0.000000
Error rate computed: 9.499136 	 epsilon: 0.044562
Error rate computed: 10.017271 	 epsilon: 0.045305
Error rate computed: 10.017271 	 epsilon: 0.000000
Error rate computed: 10.017271 	 epsilon: 0.000000
Error rate computed: 10.017271 	 epsilon: 0.000000
Error rate computed: 10.017271 	 epsilon: 0.000000
Error rate computed: 10.017271 	 epsilon: 0.048541
Error rate computed: 10.017271 	 epsilon: 0.000000
Error rate computed: 10.017271 	 epsilon: 0.050339
Error rate computed: 10.017271 	 epsilon: 0.052275
Error rate computed: 10.017271 	 epsilon: 0.000000
Error rate computed: 20.017271 	 epsilon: 0.049423
