Error rate computed: 0.000000 	 epsilon: 0.022843
Error rate computed: 1.022147 	 epsilon: 0.024489
Error rate computed: 2.044293 	 epsilon: 0.028024
Error rate computed: 3.236797 	 epsilon: 0.030890
Error rate computed: 4.599659 	 epsilon: 0.033979
Error rate computed: 5.792164 	 epsilon: 0.036244
Error rate computed: 6.984668 	 epsilon: 0.035767
Error rate computed: 7.495741 	 epsilon: 0.036734
Error rate computed: 7.495741 	 epsilon: 0.000000
Error rate computed: 9.028961 	 epsilon: 0.038833
Error rate computed: 10.562181 	 epsilon: 0.039975
Error rate computed: 10.562181 	 epsilon: 0.041820
Error rate computed: 10.562181 	 epsilon: 0.000000
Error rate computed: 10.562181 	 epsilon: 0.042473
Error rate computed: 10.562181 	 epsilon: 0.043843
Error rate computed: 10.562181 	 epsilon: 0.000000
Error rate computed: 10.562181 	 epsilon: 0.046073
Error rate computed: 10.562181 	 epsilon: 0.000000
Error rate computed: 10.562181 	 epsilon: 0.045305
Error rate computed: 10.562181 	 epsilon: 0.048541
Error rate computed: 20.562181 	 epsilon: 0.049423
