Error rate computed: 0.000000 	 epsilon: 0.027738
Error rate computed: 1.999398 	 epsilon: 0.033559
Error rate computed: 2.443405 	 epsilon: 0.034409
Error rate computed: 3.079398 	 epsilon: 0.037237
Error rate computed: 4.579312 	 epsilon: 0.038833
Error rate computed: 5.086844 	 epsilon: 0.039975
Error rate computed: 6.665471 	 epsilon: 0.041186
Error rate computed: 7.811009 	 epsilon: 0.041820
Error rate computed: 7.811009 	 epsilon: 0.000000
Error rate computed: 7.811009 	 epsilon: 0.000000
Error rate computed: 10.552970 	 epsilon: 0.044562
Error rate computed: 10.552970 	 epsilon: 0.000000
Error rate computed: 10.552970 	 epsilon: 0.046073
Error rate computed: 10.552970 	 epsilon: 0.045305
Error rate computed: 10.552970 	 epsilon: 0.000000
Error rate computed: 10.552970 	 epsilon: 0.000000
Error rate computed: 10.552970 	 epsilon: 0.000000
Error rate computed: 10.552970 	 epsilon: 0.000000
Error rate computed: 10.552970 	 epsilon: 0.000000
Error rate computed: 10.552970 	 epsilon: 0.048541
Error rate computed: 10.552970 	 epsilon: 0.000000
