Error rate computed: 0.000000 	 epsilon: 0.013660
Error rate computed: 1.041667 	 epsilon: 0.016085
Error rate computed: 2.170139 	 epsilon: 0.016575
Error rate computed: 3.125000 	 epsilon: 0.019009
Error rate computed: 4.513889 	 epsilon: 0.019841
Error rate computed: 5.034722 	 epsilon: 0.020750
Error rate computed: 6.076389 	 epsilon: 0.021574
Error rate computed: 7.291667 	 epsilon: 0.021746
Error rate computed: 8.333333 	 epsilon: 0.022465
Error rate computed: 9.375000 	 epsilon: 0.023233
Error rate computed: 10.763889 	 epsilon: 0.023637
Error rate computed: 10.763889 	 epsilon: 0.023845
Error rate computed: 10.763889 	 epsilon: 0.025169
Error rate computed: 10.763889 	 epsilon: 0.024938
Error rate computed: 10.763889 	 epsilon: 0.025644
Error rate computed: 10.763889 	 epsilon: 0.025888
Error rate computed: 10.763889 	 epsilon: 0.026391
Error rate computed: 10.763889 	 epsilon: 0.026137
Error rate computed: 10.763889 	 epsilon: 0.026914
Error rate computed: 10.763889 	 epsilon: 0.027183
Error rate computed: 20.763889 	 epsilon: 0.028613
