Error rate computed: 0.000000 	 epsilon: 0.009406
Error rate computed: 1.138952 	 epsilon: 0.011617
Error rate computed: 2.050114 	 epsilon: 0.013260
Error rate computed: 3.462415 	 epsilon: 0.014536
Error rate computed: 4.054670 	 epsilon: 0.015102
Error rate computed: 5.831435 	 epsilon: 0.015622
Error rate computed: 6.514806 	 epsilon: 0.016277
Error rate computed: 7.015945 	 epsilon: 0.016780
Error rate computed: 8.018223 	 epsilon: 0.017314
Error rate computed: 9.612756 	 epsilon: 0.018244
Error rate computed: 10.888383 	 epsilon: 0.018747
Error rate computed: 10.888383 	 epsilon: 0.018618
Error rate computed: 10.888383 	 epsilon: 0.019279
Error rate computed: 10.888383 	 epsilon: 0.019698
Error rate computed: 10.888383 	 epsilon: 0.020135
Error rate computed: 10.888383 	 epsilon: 0.020438
Error rate computed: 10.888383 	 epsilon: 0.020750
Error rate computed: 10.888383 	 epsilon: 0.021404
Error rate computed: 10.888383 	 epsilon: 0.000000
Error rate computed: 10.888383 	 epsilon: 0.021922
Error rate computed: 20.888383 	 epsilon: 0.022652
