Error rate computed: 0.000000 	 epsilon: 0.015804
Error rate computed: 1.547384 	 epsilon: 0.016277
Error rate computed: 2.596572 	 epsilon: 0.016575
Error rate computed: 3.351989 	 epsilon: 0.017883
Error rate computed: 4.560011 	 epsilon: 0.019009
Error rate computed: 5.115128 	 epsilon: 0.019698
Error rate computed: 6.639116 	 epsilon: 0.019841
Error rate computed: 7.394844 	 epsilon: 0.020593
Error rate computed: 7.394844 	 epsilon: 0.000000
Error rate computed: 9.248187 	 epsilon: 0.020750
Error rate computed: 10.989153 	 epsilon: 0.021746
Error rate computed: 10.989153 	 epsilon: 0.021922
Error rate computed: 10.989153 	 epsilon: 0.022465
Error rate computed: 10.989153 	 epsilon: 0.023433
Error rate computed: 10.989153 	 epsilon: 0.024056
Error rate computed: 10.989153 	 epsilon: 0.023233
Error rate computed: 10.989153 	 epsilon: 0.023637
Error rate computed: 10.989153 	 epsilon: 0.024489
Error rate computed: 10.989153 	 epsilon: 0.000000
Error rate computed: 10.989153 	 epsilon: 0.023845
Error rate computed: 20.989153 	 epsilon: 0.025169
