Error rate computed: 0.000000 	 epsilon: 0.006695
Error rate computed: 1.030795 	 epsilon: 0.010495
Error rate computed: 2.048705 	 epsilon: 0.012190
Error rate computed: 3.015075 	 epsilon: 0.013196
Error rate computed: 4.161835 	 epsilon: 0.014536
Error rate computed: 5.295709 	 epsilon: 0.015271
Error rate computed: 6.223425 	 epsilon: 0.016277
Error rate computed: 7.009406 	 epsilon: 0.017204
Error rate computed: 8.078856 	 epsilon: 0.017767
Error rate computed: 9.186960 	 epsilon: 0.018618
Error rate computed: 10.114676 	 epsilon: 0.019143
Error rate computed: 10.114676 	 epsilon: 0.019987
Error rate computed: 10.114676 	 epsilon: 0.020593
Error rate computed: 10.114676 	 epsilon: 0.021237
Error rate computed: 10.114676 	 epsilon: 0.021746
Error rate computed: 10.114676 	 epsilon: 0.022465
Error rate computed: 10.114676 	 epsilon: 0.023233
Error rate computed: 10.114676 	 epsilon: 0.023637
Error rate computed: 10.114676 	 epsilon: 0.024489
Error rate computed: 10.114676 	 epsilon: 0.024938
Error rate computed: 20.114676 	 epsilon: 0.025169
