Error rate computed: 0.000000 	 epsilon: 0.024270
Error rate computed: 1.196581 	 epsilon: 0.028613
Error rate computed: 2.051282 	 epsilon: 0.032360
Error rate computed: 3.076923 	 epsilon: 0.033150
Error rate computed: 4.957265 	 epsilon: 0.036734
Error rate computed: 5.982906 	 epsilon: 0.036244
Error rate computed: 6.837607 	 epsilon: 0.037237
Error rate computed: 7.863248 	 epsilon: 0.038286
Error rate computed: 8.888889 	 epsilon: 0.040571
Error rate computed: 8.888889 	 epsilon: 0.000000
Error rate computed: 10.940171 	 epsilon: 0.039395
Error rate computed: 10.940171 	 epsilon: 0.043147
Error rate computed: 10.940171 	 epsilon: 0.041186
Error rate computed: 10.940171 	 epsilon: 0.042473
Error rate computed: 10.940171 	 epsilon: 0.000000
Error rate computed: 10.940171 	 epsilon: 0.046073
Error rate computed: 10.940171 	 epsilon: 0.000000
Error rate computed: 10.940171 	 epsilon: 0.000000
Error rate computed: 10.940171 	 epsilon: 0.000000
Error rate computed: 10.940171 	 epsilon: 0.044562
Error rate computed: 10.940171 	 epsilon: 0.000000
