Error rate computed: 0.000000 	 epsilon: 0.024270
Error rate computed: 1.110094 	 epsilon: 0.028613
Error rate computed: 2.276137 	 epsilon: 0.031980
Error rate computed: 3.253705 	 epsilon: 0.033150
Error rate computed: 4.811562 	 epsilon: 0.033559
Error rate computed: 5.259975 	 epsilon: 0.036734
Error rate computed: 6.807053 	 epsilon: 0.036244
Error rate computed: 7.496517 	 epsilon: 0.038286
Error rate computed: 8.171299 	 epsilon: 0.037237
Error rate computed: 9.918422 	 epsilon: 0.040571
Error rate computed: 10.803011 	 epsilon: 0.039975
Error rate computed: 10.803011 	 epsilon: 0.000000
Error rate computed: 10.803011 	 epsilon: 0.041820
Error rate computed: 10.803011 	 epsilon: 0.039395
Error rate computed: 10.803011 	 epsilon: 0.043147
Error rate computed: 10.803011 	 epsilon: 0.000000
Error rate computed: 10.803011 	 epsilon: 0.041186
Error rate computed: 10.803011 	 epsilon: 0.042473
Error rate computed: 10.803011 	 epsilon: 0.000000
Error rate computed: 10.803011 	 epsilon: 0.000000
Error rate computed: 10.803011 	 epsilon: 0.000000
