Error rate computed: 0.000000 	 epsilon: 0.906094
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
Error rate computed: 0.000000 	 epsilon: 0.000000
