Error rate computed: 0.000000 	 epsilon: 0.012527
Error rate computed: 1.204819 	 epsilon: 0.013940
Error rate computed: 2.409639 	 epsilon: 0.014936
Error rate computed: 3.528399 	 epsilon: 0.015713
Error rate computed: 4.475043 	 epsilon: 0.016884
Error rate computed: 5.077453 	 epsilon: 0.017096
Error rate computed: 6.024096 	 epsilon: 0.017537
Error rate computed: 7.056799 	 epsilon: 0.018492
Error rate computed: 8.519793 	 epsilon: 0.019556
Error rate computed: 9.638554 	 epsilon: 0.019987
Error rate computed: 10.068847 	 epsilon: 0.020438
Error rate computed: 10.068847 	 epsilon: 0.021072
Error rate computed: 10.068847 	 epsilon: 0.020910
Error rate computed: 10.068847 	 epsilon: 0.021404
Error rate computed: 10.068847 	 epsilon: 0.021574
Error rate computed: 10.068847 	 epsilon: 0.022465
Error rate computed: 10.068847 	 epsilon: 0.023036
Error rate computed: 10.068847 	 epsilon: 0.022281
Error rate computed: 10.068847 	 epsilon: 0.000000
Error rate computed: 10.068847 	 epsilon: 0.023433
Error rate computed: 20.068847 	 epsilon: 0.023637
