Error rate computed: 0.000000 	 epsilon: 0.006695
Error rate computed: 1.065719 	 epsilon: 0.008390
Error rate computed: 2.442274 	 epsilon: 0.009571
Error rate computed: 3.063943 	 epsilon: 0.010336
Error rate computed: 4.129663 	 epsilon: 0.010873
Error rate computed: 5.239787 	 epsilon: 0.011666
Error rate computed: 6.127886 	 epsilon: 0.012081
Error rate computed: 7.149201 	 epsilon: 0.012245
Error rate computed: 8.525755 	 epsilon: 0.012469
Error rate computed: 9.635879 	 epsilon: 0.013006
Error rate computed: 10.035524 	 epsilon: 0.013524
Error rate computed: 10.035524 	 epsilon: 0.014084
Error rate computed: 10.035524 	 epsilon: 0.014307
Error rate computed: 10.035524 	 epsilon: 0.014536
Error rate computed: 10.035524 	 epsilon: 0.014693
Error rate computed: 10.035524 	 epsilon: 0.015186
Error rate computed: 10.035524 	 epsilon: 0.015445
Error rate computed: 10.035524 	 epsilon: 0.015896
Error rate computed: 10.035524 	 epsilon: 0.015713
Error rate computed: 10.035524 	 epsilon: 0.016277
Error rate computed: 20.035524 	 epsilon: 0.016677
