Error rate computed: 0.000000 	 epsilon: 0.012527
Error rate computed: 1.196459 	 epsilon: 0.012762
Error rate computed: 2.067428 	 epsilon: 0.013940
Error rate computed: 3.505111 	 epsilon: 0.014382
Error rate computed: 4.817130 	 epsilon: 0.015896
Error rate computed: 5.021557 	 epsilon: 0.014936
Error rate computed: 6.439645 	 epsilon: 0.016375
Error rate computed: 7.426911 	 epsilon: 0.015713
Error rate computed: 8.289750 	 epsilon: 0.016780
Error rate computed: 9.764528 	 epsilon: 0.016884
Error rate computed: 10.854066 	 epsilon: 0.017096
Error rate computed: 10.854066 	 epsilon: 0.017651
Error rate computed: 10.854066 	 epsilon: 0.017537
Error rate computed: 10.854066 	 epsilon: 0.018877
Error rate computed: 10.854066 	 epsilon: 0.017883
Error rate computed: 10.854066 	 epsilon: 0.018618
Error rate computed: 10.854066 	 epsilon: 0.019009
Error rate computed: 10.854066 	 epsilon: 0.019143
Error rate computed: 10.854066 	 epsilon: 0.019556
Error rate computed: 10.854066 	 epsilon: 0.020286
Error rate computed: 20.854066 	 epsilon: 0.020135
