Error rate computed: 0.000000 	 epsilon: 0.010336
Error rate computed: 1.234981 	 epsilon: 0.021404
Error rate computed: 2.038646 	 epsilon: 0.023233
Error rate computed: 3.209551 	 epsilon: 0.025169
Error rate computed: 4.107800 	 epsilon: 0.025888
Error rate computed: 5.594016 	 epsilon: 0.027457
Error rate computed: 6.119411 	 epsilon: 0.027183
Error rate computed: 7.191126 	 epsilon: 0.028613
Error rate computed: 8.174622 	 epsilon: 0.029547
Error rate computed: 9.013701 	 epsilon: 0.030203
Error rate computed: 10.000000 	 epsilon: 0.000000
Error rate computed: 9.013701 	 epsilon: 0.030890
Error rate computed: 9.013701 	 epsilon: 0.032360
Error rate computed: 9.013701 	 epsilon: 0.033150
Error rate computed: 14.000000 	 epsilon: 0.000000
Error rate computed: 15.000000 	 epsilon: 0.000000
Error rate computed: 9.013701 	 epsilon: 0.033559
Error rate computed: 17.000000 	 epsilon: 0.000000
Error rate computed: 9.013701 	 epsilon: 0.035767
Error rate computed: 19.000000 	 epsilon: 0.000000
Error rate computed: 20.013701 	 epsilon: 0.035302
