Error rate computed: 0.000000 	 epsilon: 0.000996
Error rate computed: 1.145475 	 epsilon: 0.001240
Error rate computed: 2.061856 	 epsilon: 0.001352
Error rate computed: 3.298969 	 epsilon: 0.001417
Error rate computed: 4.329897 	 epsilon: 0.001490
Error rate computed: 5.200458 	 epsilon: 0.001523
Error rate computed: 6.002291 	 epsilon: 0.001577
Error rate computed: 7.033219 	 epsilon: 0.001610
Error rate computed: 8.201604 	 epsilon: 0.001647
Error rate computed: 9.644903 	 epsilon: 0.001678
Error rate computed: 10.446735 	 epsilon: 0.001701
Error rate computed: 10.446735 	 epsilon: 0.001720
Error rate computed: 10.446735 	 epsilon: 0.001754
Error rate computed: 10.446735 	 epsilon: 0.001782
Error rate computed: 10.446735 	 epsilon: 0.001794
Error rate computed: 10.446735 	 epsilon: 0.001827
Error rate computed: 10.446735 	 epsilon: 0.001843
Error rate computed: 10.446735 	 epsilon: 0.001852
Error rate computed: 10.446735 	 epsilon: 0.001872
Error rate computed: 10.446735 	 epsilon: 0.001897
Error rate computed: 20.446735 	 epsilon: 0.001909
