Error rate computed: 0.000000 	 epsilon: 0.339785
Error rate computed: 1.161248 	 epsilon: 0.388326
Error rate computed: 2.111361 	 epsilon: 0.453047
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 13.111361 	 epsilon: 0.543656
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
Error rate computed: 2.111361 	 epsilon: 0.000000
