Error rate computed: 0.000000 	 epsilon: 0.006322
Error rate computed: 1.010660 	 epsilon: 0.008495
Error rate computed: 2.073733 	 epsilon: 0.009639
Error rate computed: 3.207017 	 epsilon: 0.010219
Error rate computed: 4.058464 	 epsilon: 0.010873
Error rate computed: 5.065169 	 epsilon: 0.011470
Error rate computed: 6.229109 	 epsilon: 0.011717
Error rate computed: 7.385139 	 epsilon: 0.012028
Error rate computed: 8.194063 	 epsilon: 0.012300
Error rate computed: 9.675442 	 epsilon: 0.012412
Error rate computed: 10.141216 	 epsilon: 0.012883
Error rate computed: 10.141216 	 epsilon: 0.013524
Error rate computed: 10.141216 	 epsilon: 0.013196
Error rate computed: 10.141216 	 epsilon: 0.013660
Error rate computed: 10.141216 	 epsilon: 0.013869
Error rate computed: 10.141216 	 epsilon: 0.013940
Error rate computed: 10.141216 	 epsilon: 0.014773
Error rate computed: 17.000000 	 epsilon: 0.000000
Error rate computed: 10.141216 	 epsilon: 0.014614
Error rate computed: 10.141216 	 epsilon: 0.015018
Error rate computed: 20.141216 	 epsilon: 0.015186
