Error rate computed: 0.000000 	 epsilon: 0.006322
Error rate computed: 1.107426 	 epsilon: 0.007572
Error rate computed: 2.090489 	 epsilon: 0.008364
Error rate computed: 3.038020 	 epsilon: 0.009091
Error rate computed: 4.151368 	 epsilon: 0.009471
Error rate computed: 5.069288 	 epsilon: 0.009639
Error rate computed: 6.040507 	 epsilon: 0.010068
Error rate computed: 7.455881 	 epsilon: 0.010219
Error rate computed: 8.948241 	 epsilon: 0.010873
Error rate computed: 9.854317 	 epsilon: 0.011005
Error rate computed: 10.091200 	 epsilon: 0.011050
Error rate computed: 10.091200 	 epsilon: 0.011518
Error rate computed: 10.091200 	 epsilon: 0.011666
Error rate computed: 10.091200 	 epsilon: 0.011717
Error rate computed: 10.091200 	 epsilon: 0.011819
Error rate computed: 10.091200 	 epsilon: 0.012081
Error rate computed: 10.091200 	 epsilon: 0.012028
Error rate computed: 10.091200 	 epsilon: 0.012190
Error rate computed: 10.091200 	 epsilon: 0.012527
Error rate computed: 10.091200 	 epsilon: 0.012412
Error rate computed: 20.091200 	 epsilon: 0.013069
