Error rate computed: 0.000000 	 epsilon: 0.022843
Error rate computed: 1.146280 	 epsilon: 0.023845
Error rate computed: 2.063475 	 epsilon: 0.028024
Error rate computed: 3.786224 	 epsilon: 0.031245
Error rate computed: 4.861069 	 epsilon: 0.032750
Error rate computed: 5.012548 	 epsilon: 0.031980
Error rate computed: 6.959306 	 epsilon: 0.033979
Error rate computed: 6.959306 	 epsilon: 0.000000
Error rate computed: 8.562728 	 epsilon: 0.035767
Error rate computed: 9.915855 	 epsilon: 0.037237
Error rate computed: 10.815921 	 epsilon: 0.036734
Error rate computed: 10.815921 	 epsilon: 0.037754
Error rate computed: 10.815921 	 epsilon: 0.038833
Error rate computed: 10.815921 	 epsilon: 0.000000
Error rate computed: 10.815921 	 epsilon: 0.039975
Error rate computed: 10.815921 	 epsilon: 0.040571
Error rate computed: 10.815921 	 epsilon: 0.000000
Error rate computed: 10.815921 	 epsilon: 0.041820
Error rate computed: 10.815921 	 epsilon: 0.000000
Error rate computed: 10.815921 	 epsilon: 0.000000
Error rate computed: 10.815921 	 epsilon: 0.000000
