Error rate computed: 0.000000 	 epsilon: 0.194163
Error rate computed: 1.155918 	 epsilon: 0.271828
Error rate computed: 2.916065 	 epsilon: 0.302031
Error rate computed: 3.178773 	 epsilon: 0.247117
Error rate computed: 3.178773 	 epsilon: 0.000000
Error rate computed: 3.178773 	 epsilon: 0.000000
Error rate computed: 3.178773 	 epsilon: 0.000000
Error rate computed: 3.178773 	 epsilon: 0.000000
Error rate computed: 3.178773 	 epsilon: 0.000000
Error rate computed: 3.178773 	 epsilon: 0.000000
Error rate computed: 10.468935 	 epsilon: 0.339785
Error rate computed: 10.468935 	 epsilon: 0.000000
Error rate computed: 10.468935 	 epsilon: 0.000000
Error rate computed: 10.468935 	 epsilon: 0.000000
Error rate computed: 10.468935 	 epsilon: 0.000000
Error rate computed: 10.468935 	 epsilon: 0.000000
Error rate computed: 10.468935 	 epsilon: 0.000000
Error rate computed: 10.468935 	 epsilon: 0.000000
Error rate computed: 10.468935 	 epsilon: 0.000000
Error rate computed: 10.468935 	 epsilon: 0.000000
Error rate computed: 10.468935 	 epsilon: 0.000000
