Error rate computed: 0.000000 	 epsilon: 0.008740
Error rate computed: 1.082431 	 epsilon: 0.010536
Error rate computed: 2.164863 	 epsilon: 0.011666
Error rate computed: 3.080766 	 epsilon: 0.012135
Error rate computed: 4.412989 	 epsilon: 0.013196
Error rate computed: 5.578684 	 epsilon: 0.013524
Error rate computed: 6.494588 	 epsilon: 0.014012
Error rate computed: 7.577019 	 epsilon: 0.014854
Error rate computed: 8.576187 	 epsilon: 0.014936
Error rate computed: 9.741882 	 epsilon: 0.015358
Error rate computed: 10.491257 	 epsilon: 0.016085
Error rate computed: 10.491257 	 epsilon: 0.015896
Error rate computed: 10.491257 	 epsilon: 0.016277
Error rate computed: 10.491257 	 epsilon: 0.016677
Error rate computed: 10.491257 	 epsilon: 0.016884
Error rate computed: 10.491257 	 epsilon: 0.016989
Error rate computed: 10.491257 	 epsilon: 0.017537
Error rate computed: 10.491257 	 epsilon: 0.017314
Error rate computed: 10.491257 	 epsilon: 0.017767
Error rate computed: 10.491257 	 epsilon: 0.018244
Error rate computed: 20.491257 	 epsilon: 0.018122
